Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating
Acalli,U.S.A.,2020,Peru,"Barataria, El Plantal and Norandino Tumbes blend",70%,"2- B,S","hot cocoa, rich, molasses",3
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,60%,"3- B,S,C","sweet, sublte strawberry",2
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Toto-A",80%,"3- B,S,C",spicy and candy-like,2
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,88%,"3- B,S,C","orange, floral, lemon",3
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Ami-Ami-CA",72%,"3- B,S,C",cocoa and powerful tang,3
Aelan,Vanuatu,2019,Vanuatu,"Malekula Island, batch M10/19",70%,"2- B,S","unrefined, sweet, metallic",2
Aelan,Vanuatu,2019,Vanuatu,"Malo Island, batch Ma20/19",70%,"2- B,S","basic, sweet, cocoa, woody",2
Aelan,Vanuatu,2019,Vanuatu,"Santo Island, batch S15/19",70%,"2- B,S","sweet, cocoa, rubbery",2
Aelan,Vanuatu,2019,Vanuatu,"EPI Island, batch E 11/19",70%,"2- B,S","sandy, woody, spicy, sweet",2
Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",55%,"4- B,S,C,V","sandy, sweet, banana cream",2
Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",70%,"4- B,S,C,V","roasty, nutty, coffee",2
Ah Cacao,Mexico,2009,Mexico,Tabasco,70%,"3- B,S,C","gritty, spice, cocoa",2
Akesson's (Pralus),U.K.,2010,Madagascar,"Madagascar, Ambolikapiky P.",75%,"4- B,S,C,L","strong pepper, musty",2
Akesson's (Pralus),U.K.,2010,Brazil,"Monte Alegre, D. Badero",75%,"4- B,S,C,L","fatty, intense, woody",2
Akesson's (Pralus),U.K.,2011,Indonesia,"Bali (west), Sukrama Family, Melaya area",75%,"4- B,S,C,L","hay, nut, berry",3
Alain Ducasse,France,2013,Venezuela,Chuao,75%,"5- B,S,C,V,L","sandy, dirt, ashey",2
Alain Ducasse,France,2013,Peru,"Piura, Perou",75%,"5- B,S,C,V,L","cardboard, dirt, roasty",2
Alain Ducasse,France,2014,Trinidad,Trinite,65%,"6-B,S,C,V,L,Sa","roasty, sweet, savory",2
Alain Ducasse,France,2014,Vietnam,Vietnam,75%,"5-B,S,C,V,Sa","nutty, roasty, odd dairy",2
Alain Ducasse,France,2014,Madagascar,Madagascar,75%,"5-B,S,C,V,Sa","citrus, fatty, dairy",2
Alain Ducasse,France,2017,Mexico,"Porcelana, Mexique",75%,"6-B,S,C,V,L,Sa","strawberry, cream, gateway",3
Alexandre,Netherlands,2017,Ecuador,"Winak Coop, Napo",70%,"3- B,S,C","sandy, green, floral",3
Alexandre,Netherlands,2017,Nicaragua,"La Dalia, Matagalpa",70%,"3- B,S,C","sandy, sweet, nibby",3
Alexandre,Netherlands,2017,Tanzania,"Makwale Village, Kyela",70%,"3- B,S,C","sandy, melon, banana",3
Alexandre,Netherlands,2017,Vietnam,Tien Giang,70%,"3- B,S,C","sandy, sweet, roasty",3
Altus aka Cao Artisan,U.S.A.,2013,Venezuela,Sur del Lago,60%,"4- B,S,C,L","sweet, moldy, off",2
Altus aka Cao Artisan,U.S.A.,2013,Dominican Republic,"Conacado, batch 130",60%,"4- B,S,C,L","sandy, sweet, dairy, spice",2
Altus aka Cao Artisan,U.S.A.,2013,Bolivia,"Bolivia, batch 154",60%,"4- B,S,C,L","grit, sweet, caramel, fruit",2
Altus aka Cao Artisan,U.S.A.,2013,Bolivia,"Bolivia, batch 101",80%,"4- B,S,C,L","gritty, berry, mild bitter",2
Altus aka Cao Artisan,U.S.A.,2013,Peru,"Peru, batch 148",60%,"4- B,S,C,L","gritty, too sweet, fruit",2
Altus aka Cao Artisan,U.S.A.,2016,Bolivia,CIAAB Coop,60%,"3- B,S,C","sandy, sweet, pungent",2
Altus aka Cao Artisan,U.S.A.,2016,Peru,Villa Andina,60%,"3- B,S,C","sandy, sweet, sour, off",2
Altus aka Cao Artisan,U.S.A.,2016,Nicaragua,Momotombo,60%,"3- B,S,C","powdery, sweet, molasses",2
Altus aka Cao Artisan,U.S.A.,2016,Ecuador,Gruppo Salinas,60%,"3- B,S,C","sandy, nutty, earthy, roasty",2
Altus aka Cao Artisan,U.S.A.,2016,Peru,Acopagro,60%,"3- B,S,C","dry, sweet, caramel",2
Altus aka Cao Artisan,U.S.A.,2018,Dominican Republic,Oko Caribe,70%,"3- B,S,C","sweet, coarse, nutty",2
Amano,U.S.A.,2007,Venezuela,Cuyagua,70%,"4- B,S,C,V","waxy, nutty, mint",2
Amano,U.S.A.,2007,Madagascar,Madagascar,70%,"4- B,S,C,V","spice, nut, cocoa, fruit",3
Amano,U.S.A.,2007,Venezuela,Ocumare,70%,"4- B,S,C,V","spicy, strawberry",3
Amano,U.S.A.,2008,Indonesia,"Bali, Jembrana",70%,"4- B,S,C,V","sticky, nutty, high acidity",2
Amano,U.S.A.,2009,Venezuela,Montanya,70%,"4- B,S,C,V","hot spice, roasty",2
Amano,U.S.A.,2010,Venezuela,Chuao,70%,"4- B,S,C,V","woody, red berry, sour",2
Amano,U.S.A.,2010,Dominican Republic,Dos Rios,70%,"4- B,S,C,V","orange, cinamon",3
Amano,U.S.A.,2010,Ecuador,Guayas,70%,"4- B,S,C,V","strong spice, intense pepper",3
Amano,U.S.A.,2011,Papua New Guinea,Morobe,70%,"4- B,S,C,V","tart, lemon, smoke",3
Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,70%,"2- B,S","waxy mouthfeel, spicy",2
Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,85%,"2- B,S","fatty, mushroom, off notes",2
Amatller (Simon Coll),Spain,2009,Ghana,Ghana,70%,"2- B,S","dry, chalky, fudge-like",2
Amatller (Simon Coll),Spain,2009,Ghana,Ghana,85%,"2- B,S","roasty,oddly sweet,marshmallow",2
Amazing Cacao,Russia,2017,Peru,Maranon,70%,,"raisins, pungent",2
Amazing Cacao,Russia,2017,Peru,Platan Bajo,70%,,"few grits, blackcherry, licorice",3
Amazona,Peru,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72%,"3- B,S,C","oily, vanilla, melon, cocoa",2
Amazona,Peru,2013,Peru,"Bellavista Gran Pajeten, San Martin",73%,"3- B,S,C","oily, vegetal, nutty, cocoa",3
Ambrosia,Canada,2015,Belize,Belize,64%,"4- B,S,C,L","roasty, brownie, nutty",2
Ambrosia,Canada,2015,Madagascar,Madagascar,66%,"2- B,S","fruity, sour",2
Ambrosia,Canada,2015,Dominican Republic,Dominican Republic,75%,"2- B,S","high roast, high astringnet",2
Ambrosia,Canada,2015,Papua New Guinea,Papua New Guinea,63%,"2- B,S","smokey, savory",2
Ambrosia,Canada,2015,Venezuela,Venezuela,70%,"2- B,S","sandy, roasty, nutty",2
Ambrosia,Canada,2015,Peru,Peru,68%,"2- B,S","rich, sour, mild smoke",3
Amedei,Italy,2006,Blend,Toscano Black,66%,"4- B,S,C,V","red wine, rich cocoa, long",3
Amedei,Italy,2007,Ecuador,Ecuador,70%,"4- B,S,C,V","creamy, earthy, vegetal",2
Amedei,Italy,2007,Jamaica,Jamaica,70%,"4- B,S,C,V","sandy, woody, spicy",2
Amedei,Italy,2007,Grenada,Grenada,70%,"4- B,S,C,V",fruity with coffee notes,3
Amedei,Italy,2007,Trinidad,Trinidad,70%,"4- B,S,C,V","coffee, fruit, woodsy",3
Amedei,Italy,2007,Blend,Toscano Black,63%,"4- B,S,C,V","fatty, dairy, caramel, cocoa",3
Amedei,Italy,2007,Venezuela,Venezuela,70%,"4- B,S,C,V","creamy, fruit, cocoa",3
Amedei,Italy,2012,Peru,"Piura, Blanco de Criollo",70%,"4- B,S,C,V","creamy, raspberry, nutty",3
Amedei,Italy,2018,Madagascar,Madagascar,70%,"4- B,S,C,V","vanilla, mint, roasty",2
Amedei,Italy,2018,Venezuela,Chuao,70%,"4- B,S,C,V","vanilla, nuts, roasty",2
Amedei,Italy,2018,Venezuela,Porcelana,70%,"4- B,S,C,V","nutty, mild roasty, vanilla",2
Amedei,Italy,2018,Blend,Nine,75%,"4- B,S,C,V","sweet, delicate, complex",3
Amedei,Italy,2019,Blend,Toscano Black,70%,"3- B,S,C","nut, fatty, rubbery, rich",2
AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",85%,"4- B,S,C,L","creamy, red berry, bitter",2
AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",50%,"4- B,S,C,L","very sweet, bright red, banana",3
AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",75%,"4- B,S,C,L","roasty, fatty, nutty, coffee",3
AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",60%,"4- B,S,C,L","creamy, sweet,cocoa,banana",3
AMMA,Brazil,2013,Brazil,Catongo,75%,"4- B,S,C,L","grainy, sweet, poor aftertaste",2
Anahata,U.S.A.,2014,Dominican Republic,Elvesia,75%,"2- B,S","chalky, mild fruit, burnt",2
Animas,U.S.A.,2016,Bolivia,Alto Beni,75%,"2- B,S","light roast, caramel, cocoa",3
Animas,U.S.A.,2021,Belize,"Maya Mountain, batch 39",75%,"2- B,S","burnt toast, cherry",2
Animas,U.S.A.,2021,Guatemala,"Alta Verapaz, Cahabon & Lanquin regions, b. 4243",75%,"2- B,S","orange citrus, harsh earthiness",2
Ara,France,2014,Mexico,Chiapas,72%,"3- B,S,C","earthy, sour milk, leather",2
Ara,France,2014,Ecuador,Equateur,75%,"3- B,S,C","bitter, floral, leather",2
Ara,France,2014,Madagascar,Madagascar,75%,"3- B,S,C","sandy, fruity, short",2
Ara,France,2014,Venezuela,Trincheras,75%,"3- B,S,C","nutty, mild spice, mild earthy",2
Arete,U.S.A.,2015,Brazil,Fazenda Camboa,75%,"2- B,S","floral, chemical off",2
Arete,U.S.A.,2015,Guatemala,Guatemala,70%,"2- B,S","strawberry, butterscotch, off",2
Arete,U.S.A.,2015,Brazil,Fazenda Camboa,70%,"2- B,S","creamy, rich, rum, roasty",3
Arete,U.S.A.,2015,Peru,Nacional,68%,"2- B,S","floral, nutty, rich cocoa",3
Arete,U.S.A.,2015,Dominican Republic,Oko Caribe,70%,"2- B,S","spicy, brownie, nutty",3
Arete,U.S.A.,2015,Ecuador,Camino Verde,75%,"3- B,S,C","intense, floral, bourbon",3
Arete,U.S.A.,2015,Ecuador,"Puerto Quito, heirloom",70%,"2- B,S","spicy, cocoa",3
Arete,U.S.A.,2015,Belize,Maya Mountain,70%,"2- B,S","floral, strawberry, metallic",3
Arete,U.S.A.,2015,Nicaragua,Chuno,70%,"2- B,S","creamy,sticky, peanut butter",3
Arete,U.S.A.,2016,Ecuador,Hacienda Victoria,70%,"3- B,S,C","sticky, floral, roasty",2
Arete,U.S.A.,2016,Ecuador,Costa Esmeraldas,70%,"3- B,S,C","chewy, mild floral",2
Arete,U.S.A.,2016,Fiji,Matasawalevu,70%,"2- B,S","smoke, hammy, cocoa base",2
Arete,U.S.A.,2016,Vietnam,Lam Dong,73%,"2- B,S","earthy, nutty, cardboard",2
Arete,U.S.A.,2016,Trinidad,San Juan,70%,"2- B,S","delicate, simple",3
Arete,U.S.A.,2016,Vietnam,Tien Giang,73%,"3- B,S,C","cashew, roasty, chunky melt",3
Arete,U.S.A.,2016,Guatemala,Lachua,70%,"2- B,S","subtle, mysterious",3
Arete,U.S.A.,2016,Honduras,"La Masica, FHIA",70%,"2- B,S","nutty, green",3
Arete,U.S.A.,2016,Tanzania,Kokoa Kamili,70%,"2- B,S","appealing smoke, woody",3
Arete,U.S.A.,2016,Nicaragua,Rugoso,70%,"3- B,S,C","muddy, rich cocoa, raspberry",3
Arete,U.S.A.,2016,Dominican Republic,Elvesia,70%,"2- B,S","dark berry, chocolatey",3
Arete,U.S.A.,2016,Costa Rica,"Coto Brus, Terciopelo",70%,"2- B,S","balanced, cherry, choco",3
Arete,U.S.A.,2016,Peru,Phantom,70%,"2- B,S","creamy, complex, balanced",3
Arete,U.S.A.,2017,India,Anamalai,70%,"2- B,S","slight roasty, basic cocoa",3
Arete,U.S.A.,2017,Madagascar,Sambirano Valley,70%,"3- B,S,C",sour fruit,3
Arete,U.S.A.,2017,Vietnam,Ben Tre,73%,"3- B,S,C","rich cocoa, mild roasty",3
Arete,U.S.A.,2017,Peru,Ucayali,70%,"3- B,S,C","dried fruit, fig, anise",3
Arete,U.S.A.,2017,Bolivia,Beniano,70%,"2- B,S","creamy, bright fruit",3
Arete,U.S.A.,2017,Haiti,Pisa,70%,"2- B,S","long lasting, cocoa",3
Arete,U.S.A.,2018,Trinidad,Ramnath E.,70%,"2- B,S","nuts, dried fruit, short",2
Arete,U.S.A.,2018,Colombia,Tumaco,70%,"2- B,S","smooth, nutty, cocoa",3
Arete,U.S.A.,2019,India,Idukki,70%,"3- B,S,C","burn butterscotch, rubbery",2
Arete,U.S.A.,2019,India,Jangareddygudem,70%,"3- B,S,C","herbs, mushroom, acidic",2
Argencove,Nicaragua,2018,Nicaragua,Apoyo,70%,"2- B,S","cocoa, earthy, hammy",2
Argencove,Nicaragua,2018,Nicaragua,Masaya,70%,"2- B,S","melon, late hammy",2
Argencove,Nicaragua,2018,Nicaragua,Mombacho,70%,"2- B,S","smooth, vegetal",3
Argencove,Nicaragua,2018,Nicaragua,Cocibolca,70%,"2- B,S","roasty, rich cocoa",3
Artisan du Chocolat,U.K.,2008,Congo,Congo,72%,"3- B,S,C","spicy, minty, vegetal",3
Artisan du Chocolat,U.K.,2009,Brazil,Brazil Rio Doce,72%,"3- B,S,C","cocoa, dominate off note",1
Artisan du Chocolat,U.K.,2009,Venezuela,"Ocumare, Venezuela",75%,"3- B,S,C","oily, nutty, burnt, sour",2
Artisan du Chocolat,U.K.,2009,Indonesia,Java,72%,"3- B,S,C","gritty, very smokey, sour",2
Artisan du Chocolat,U.K.,2009,Madagascar,Madagascar,80%,"3- B,S,C","sl. bitter, cherry, rich",2
Artisan du Chocolat,U.K.,2009,Peru,Peru,75%,"3- B,S,C","spicey, mild metallic",2
Artisan du Chocolat,U.K.,2009,Dominican Republic,Dominican Republic,72%,"3- B,S,C","spice, cocoa, short",2
Artisan du Chocolat,U.K.,2010,Venezuela,Venezuela,100%,,"very nutty, very bitter",1
Artisan du Chocolat,U.K.,2010,Costa Rica,Costa Rica,72%,"3- B,S,C","chewy, grassy, nutty",2
Artisan du Chocolat,U.K.,2010,Vietnam,Ba Ria Vung Tau Province,72%,"3- B,S,C","unrefined, distinct spicey",2
Artisan du Chocolat,U.K.,2010,Indonesia,Bali,72%,"3- B,S,C",black pepper and banana,3
Artisan du Chocolat,U.K.,2010,Jamaica,Jamaica,72%,"3- B,S,C","grassy, black licorice, mint",3
Artisan du Chocolat,U.K.,2011,Panama,Panama,72%,"3- B,S,C","blackpepper,chemical,rubber",2
Artisan du Chocolat,U.K.,2011,Haiti,Haiti,72%,"3- B,S,C","nuts, butterscotch, brownie",3
Artisan du Chocolat,U.K.,2012,Colombia,"Colombia, Casa Luker",72%,"3- B,S,C","marshmallow, roasty, nutty",3
Artisan du Chocolat,U.K.,2013,Trinidad,"Trinidad, Heritage, Limited ed.",72%,"3- B,S,C","gritty, nutty",2
Artisan du Chocolat (Casa Luker),U.K.,2013,Colombia,"Orinoqua Region, Arauca",72%,"4- B,S,C,L","creamy, marshmallow, off",2
Aruntam,Italy,2021,India,"Idukki Kerala, lot IN728221",72%,"4- B,S,C,L","cinamon, nutmeg, fatty",2
Aruntam,Italy,2021,Madagascar,"Bejofo E., Akesson, lot MA72820",72%,"4- B,S,C,L","strawberry, sour",2
Aruntam,Italy,2021,Tanzania,"Kokoa Kamili, lot TZ72199",72%,"4- B,S,C,L","caramel, sour milk",3
Askinosie,U.S.A.,2007,Mexico,Xoconusco,75%,"2- B,S","leather, black licorice, off",2
Askinosie,U.S.A.,2007,Ecuador,San Jose del Tambo,70%,"2- B,S","smooth, astringent, cocoa",2
Askinosie,U.S.A.,2009,Philippines,Davao,77%,"2- B,S","strawberries, mild tart, roasty",3
Askinosie,U.S.A.,2011,Tanzania,"Tenende, Uwate",72%,"2- B,S","creamy, woody, cocoa",3
Askinosie,U.S.A.,2011,Honduras,Cortes,70%,"2- B,S","grapes, woody, roasty",3
Askinosie,U.S.A.,2016,Tanzania,Mababa,68%,"3- B,S,C","creamy, rich, blueberry",3
Atypic,Australia,2019,Solomon Islands,Solomon Islands,70%,"4- B,S,C,L","off aroma,vegetal,honey,sandy",2
Auro,Philippines,2018,Philippines,Davao,77%,"4- B,S,V,L","sandy, vanilla",2
Auro,Philippines,2018,Philippines,"Paquibao E., 2016",70%,"3- B,S,C","waxy, dried fruit",2
Auro,Philippines,2018,Philippines,South Cotabato,70%,"3- B,S,C","sandy, roasty, nutty",2
Auro,Philippines,2018,Philippines,"Saloy E., 2016",70%,"3- B,S,C","long, bright fruit, sweet, sour",3
Avanaa,Canada,2021,Colombia,Tumaco,70%,"2- B,S","chemical, spice, earthy",2
Avanaa,Canada,2021,Dominican Republic,Zorzal,70%,"2- B,S","intense, sour tart plum, rubber",2
Bahen & Co.,Australia,2012,Brazil,Bahia,70%,"2- B,S","chalky, intense, chemical",2
Bahen & Co.,Australia,2012,Blend,Houseblend,70%,"2- B,S","chalky, fragrant, then off",2
Bahen & Co.,Australia,2012,Madagascar,Sambirano,70%,"2- B,S","unrefined, flat, grassy",2
Bahen & Co.,Australia,2015,Blend,Houseblend,80%,"2- B,S","coarse, smokey, metallic",2
Bahen & Co.,Australia,2015,Papua New Guinea,Papua New Guinea,70%,"2- B,S","smoke, ham, papaya",3
Baiani,Brazil,2018,Brazil,"Bahia, Vale Potumujo",70%,"2- B,S","bland, sugary, large grits",2
Bakau,Peru,2015,Peru,"Bambamarca, 2015",70%,"3- B,S,C","molasses, caramel, pungent",2
Bakau,Peru,2015,Peru,"Huallabamba, 2015",70%,"3- B,S,C","black pepper, cardamom",3
Bankston,U.S.A.,2019,Belize,Belize,72%,"3- B,S,C","gritty, fatty, sour, off",2
Bankston,U.S.A.,2019,Uganda,Uganda,82%,"3- B,S,C","bitter, fatty, mild fruit",2
Bankston,U.S.A.,2019,Tanzania,Kokoa Kamili,72%,"3- B,S,C","base cocoa, mild fruit, roasty",2
Bar Au Chocolat,U.S.A.,2012,Dominican Republic,Duarte Province,70%,"2- B,S","complex,black pepper,coffee",2
Bar Au Chocolat,U.S.A.,2012,Mexico,Chiapas,70%,"2- B,S","molasses,toffee,coffee grounds",3
Bar Au Chocolat,U.S.A.,2012,Madagascar,Sambirano,70%,"2- B,S","raspberry, mild sour",3
Bar Au Chocolat,U.S.A.,2014,Peru,Maranon Canyon,70%,"2- B,S","creamy, rounded, orange",3
Bar Au Chocolat,U.S.A.,2015,Brazil,Bahia,70%,"2- B,S","intense, smokey, dried fruit",3
Bar Au Chocolat,U.S.A.,2017,Costa Rica,"Turrialba, Cartago P.",72%,"2- B,S","slightly dry, cocoa, berry",3
Bar Au Chocolat,U.S.A.,2017,Trinidad,Montserrat Hills,80%,"2- B,S","intense, tangy, alcohol",3
Baravelli's,Wales,2012,Costa Rica,single estate,80%,"4- B,S,C,V","gritty, floral, vanilla",2
Batch,U.S.A.,2016,Ecuador,Ecuador,65%,"3- B,S,C","sandy, floral, sweet",2
Batch,U.S.A.,2016,Dominican Republic,"Dominican Republic, Batch 3",65%,"3- B,S,C","creamy, sweet, fudgey",3
Batch,U.S.A.,2016,Brazil,Brazil,70%,"3- B,S,C","strawberry, candy flavor",3
Bean,U.K.,2019,Peru,Peru,70%,"4- B,S,C,V","strong vanilla, off notes",1
Beau Cacao,U.K.,2017,Malaysia,"Asajaya E, NW Borneo, b. #132/4500",73%,"3- B,S,C","caramel, spice, earthy",2
Beau Cacao,U.K.,2017,Malaysia,"Serian E., NW Borneo, b. #134/3800",72%,"3- B,S,C","smokey, woody, tobacco",2
Beehive,U.S.A.,2016,Brazil,"Brazil, Batch 20316",80%,"3- B,S,C","intense, bitter, dry",2
Beehive,U.S.A.,2016,Dominican Republic,"Dominican Republic, Batch 31616",70%,"3- B,S,C","sandy, sweet, molasses",2
Beehive,U.S.A.,2016,Ecuador,"Ecuador, Batch 31516",70%,"3- B,S,C","intense, floral, black pepper",2
Beehive,U.S.A.,2016,Ecuador,Ecuador,90%,"3- B,S,C","intense floral, bitter, earthy",2
Belcolade,Belgium,2010,Costa Rica,Costa Rica,64%,"4- B,S,C,L","pastey, nutty",2
Belcolade,Belgium,2010,Papua New Guinea,Papua New Guinea,64%,"4- B,S,C,L","intense, smokey",2
Belcolade,Belgium,2010,Peru,Peru,64%,"4- B,S,C,L","sticky, moss, nuts",2
Belcolade,Belgium,2010,Ecuador,Ecuador,71%,"4- B,S,C,L","dry, cinamon, nutmeg",3
Bellflower,U.S.A.,2016,Bolivia,"Alto Beni, Palos Blanco",70%,"3- B,S,C","oily, complex, pungent",2
Bellflower,U.S.A.,2016,Tanzania,"Kokao Kamili, Kilombero Valley",70%,"3- B,S,C","sticky, delicate, melon",3
Bellflower,U.S.A.,2016,Dominican Republic,"Oko Caribe, Duarte P.",70%,"2- B,S","caramel, mild dried fruit",3
Belvie,Vietnam,2018,Vietnam,Lam Dong,75%,"3- B,S,C","high acidity, nutty, roasty",2
Belvie,Vietnam,2021,Vietnam,"Ben Tre, batch 70301",70%,"3- B,S,C",dominate cocoa notes,3
Belyzium,Germany,2016,Belize,"Belize south, low fermentation",83%,"3- B,S,C","unbalanced, tangy, pungent",2
Belyzium,Germany,2016,Belize,Belize south,78%,"3- B,S,C","sweet, nibby, green",2
Belyzium,Germany,2016,Belize,Belize south,83%,"3- B,S,C","balanced, complex, berry",3
Benns,Singapore,2018,Vietnam,Vung Tau,72%,"4- B,S,C,L","gummy, roasty, fatty",2
Benns,Singapore,2018,India,"Anamalai, 2018 harvest",72%,"4- B,S,C,L","gummy, fatty, sour",2
Benns,Singapore,2018,Malaysia,"Sungai Ruan, Koh Farm",72%,"4- B,S,C,L","off aroma, smokey, off note",2
Benoit Nihant,Belgium,2011,Madagascar,"Somia Plantation, Sambirano, 70hr C",72%,"3- B,S,C","intense,red berry,strawberry",3
Benoit Nihant,Belgium,2011,Indonesia,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",72%,"3- B,S,C","smokey, raspberries, cocoa",3
Benoit Nihant,Belgium,2013,Cuba,Baracoa,74%,"3- B,S,C","tobacco, dairy, sour",3
Benoit Nihant,Belgium,2013,Venezuela,Cuyagua Village,74%,"3- B,S,C","nutty, roasty, dairy",3
Benoit Nihant,Belgium,2013,Venezuela,Chuao,74%,"3- B,S,C","mocha, intense, sweet",3
Benoit Nihant,Belgium,2013,Ecuador,Rio Peripa H.,73%,"3- B,S,C",cinamon and nutmeg,3
Bernachon,France,2012,Blend,Nature,55%,"5- B,S,C,V,L","sweet, vanilla, cocoa",2
Beschle (Felchlin),Switzerland,2010,Venezuela,"Carenero S., Barlovento, Grand Cru",70%,"3- B,S,C","creamy, macadamia, pepper",2
Beschle (Felchlin),Switzerland,2010,Venezuela,"Porcelana, Premier Cru, Quizas No. 1",74%,"3- B,S,C","nutty, light toffee, mild musty",2
Beschle (Felchlin),Switzerland,2010,Indonesia,"Java, Grand Cru",64%,"3- B,S,C","ham-like, smokey, banana",3
Beschle (Felchlin),Switzerland,2010,Venezuela,"Ocumare, Premier Cru, Quizas No. 2",72%,"3- B,S,C","dark cocoa, spicy pepper",3
